date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-16:04:49,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,circle,0.1,10000,random,5,43.9462,8.78925,8.79168,0.151517,1,8.68229,733150,0,40,dynamic,239166804,312529940,165342490
2025-07-09-16:06:56,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,circle,0.2,10000,random,5,105.893,21.1786,21.1592,0.345753,1,20.8582,1873001,0,40,dynamic,650083713,846424302,446773746
2025-07-09-16:06:58,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,circle,0.01,10000,random,5,2.21026,0.442052,0.44099,0.00912,1,0.447244,25239,0,40,dynamic,9368511,12336797,7585440
2025-07-09-16:07:07,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,circle,0.05,10000,random,5,7.57185,1.51437,1.51494,0.0285364,1,1.55099,285771,0,40,dynamic,39942141,52301069,29676096
2025-07-09-16:07:31,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,circle,0.1,10000,random,5,19.558,3.91159,3.89028,0.0659843,1,3.56953,733150,0,40,dynamic,138253875,176010876,98629384
2025-07-09-16:08:29,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,circle,0.2,10000,random,5,49.25,9.85,9.83246,0.240549,1,9.59793,1873001,0,40,dynamic,386916438,487333015,279170682
2025-07-09-16:08:32,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,circle,0.01,10000,random,5,1.96151,0.392302,0.393734,0.00475095,1,0.396918,25239,0,40,dynamic,6829573,9515445,6855171
2025-07-09-16:08:37,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,circle,0.05,10000,random,5,4.4231,0.88462,0.886177,0.0112274,1,0.887708,285771,0,40,dynamic,14874737,21142112,15066325
2025-07-09-16:08:44,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,circle,0.1,10000,random,5,5.84523,1.16905,1.1704,0.0146531,1,1.15888,733150,0,40,dynamic,19764008,27857178,19739868
2025-07-09-16:08:53,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,circle,0.2,10000,random,5,7.73632,1.54726,1.54535,0.0171452,1,1.52921,1873001,0,40,dynamic,26468054,37311304,26334884
2025-07-09-16:08:53,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,sphere,0.01,10000,random,5,0.0761908,0.0152382,0.0138914,0.0018547,1,0.0162293,453,0,40,dynamic,311970,348159,228888
2025-07-09-16:08:55,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,sphere,0.05,10000,random,5,0.948472,0.189694,0.189247,0.0013448,1,0.190344,14461,0,40,dynamic,5239752,6244409,2896207
2025-07-09-16:08:59,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,sphere,0.1,10000,random,5,3.72241,0.744483,0.739911,0.00629485,1,0.738722,58403,0,40,dynamic,18644709,23031790,10988784
2025-07-09-16:09:17,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,sphere,0.2,10000,random,5,14.6001,2.92001,2.92581,0.0151762,1,2.88938,230987,0,40,dynamic,64989656,83233550,40795325
2025-07-09-16:09:17,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,sphere,0.01,10000,random,5,0.0405872,0.00811744,0.00810862,5.65581e-05,1,0.00849163,453,0,40,dynamic,200624,194483,137043
2025-07-09-16:09:17,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,sphere,0.05,10000,random,5,0.257788,0.0515576,0.0516097,0.000213524,1,0.0521495,14461,0,40,dynamic,2391398,2443207,837212
2025-07-09-16:09:18,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,sphere,0.1,10000,random,5,0.859617,0.171923,0.172015,0.00152244,1,0.16945,58403,0,40,dynamic,7260258,7915549,2439891
2025-07-09-16:09:22,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,sphere,0.2,10000,random,5,3.55835,0.71167,0.711463,0.00368427,1,0.703839,230987,0,40,dynamic,19510278,23048671,9955832
2025-07-09-16:09:22,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,sphere,0.01,10000,random,5,0.0525573,0.0105115,0.0116547,0.00204599,1,0.0108244,453,0,40,dynamic,165690,186622,138921
2025-07-09-16:09:23,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,sphere,0.05,10000,random,5,0.223617,0.0447233,0.0448521,0.000292743,1,0.0448099,14461,0,40,dynamic,782255,1018259,741657
2025-07-09-16:09:23,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,sphere,0.1,10000,random,5,0.464641,0.0929282,0.0934014,0.000782549,1,0.0929039,58403,0,40,dynamic,1620134,2196627,1570177
2025-07-09-16:09:24,LinearOctree,Point,MortonEncoder3D,429615314,neighborsStruct,sphere,0.2,10000,random,5,0.93077,0.186154,0.186174,0.000634248,1,0.185346,230987,0,40,dynamic,3189571,4354822,3093466
2025-07-09-16:09:28,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,square,0.01,10000,random,5,2.88501,0.577002,0.580907,0.00740124,1,0.576237,28010,0,40,dynamic,11839482,15951781,9513524
2025-07-09-16:09:50,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,square,0.05,10000,random,5,18.5801,3.71601,3.71323,0.0555801,1,3.65681,323961,0,40,dynamic,84063786,110877667,58156738
2025-07-09-16:10:44,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,square,0.1,10000,random,5,45.0101,9.00202,9.06271,0.131542,1,8.62083,822445,0,40,dynamic,233054522,305344973,161040341
2025-07-09-16:12:56,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,square,0.2,10000,random,5,110.773,22.1547,21.8467,0.480038,1,22.0604,2106487,0,40,dynamic,693140779,906294007,474991534
2025-07-09-16:12:59,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,square,0.01,10000,random,5,2.23447,0.446895,0.448252,0.00579557,1,0.454044,28010,0,40,dynamic,9562712,12771445,7788709
2025-07-09-16:13:10,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,square,0.05,10000,random,5,8.84302,1.7686,1.7525,0.0322475,1,1.7501,323961,0,40,dynamic,43690081,57043531,31871820
2025-07-09-16:13:35,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,square,0.1,10000,random,5,21.3301,4.26602,4.29603,0.107249,1,4.18644,822445,0,40,dynamic,154290515,194693660,110260714
2025-07-09-16:14:39,LinearOctree,Point,MortonEncoder3D,429615314,neighborsPrune,square,0.2,10000,random,5,52.9549,10.591,10.5322,0.258824,1,10.5048,2106487,0,40,dynamic,438464907,548250971,315718726
