date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-10:56:45,pointer <Lpoint64> unsorted,10000000,neighSearch,Sphere,0.5,1000,5,0.0505655,0.0101131,0.0104159,0.00105798,1
2024-11-29-10:56:45,pointer <Lpoint64> unsorted,10000000,neighSearch,Circle,0.5,1000,5,0.0875151,0.017503,0.0175307,0.000996823,1
2024-11-29-10:56:45,pointer <Lpoint64> unsorted,10000000,neighSearch,Cube,0.5,1000,5,0.0571227,0.0114245,0.0120157,0.00119537,1
2024-11-29-10:56:46,pointer <Lpoint64> unsorted,10000000,neighSearch,Square,0.5,1000,5,0.102857,0.0205714,0.0209416,0.00088934,1
2024-11-29-10:56:46,pointer <Lpoint64> unsorted,10000000,neighSearch,Sphere,1,1000,5,0.146149,0.0292298,0.0287903,0.00130905,1
2024-11-29-10:56:46,pointer <Lpoint64> unsorted,10000000,neighSearch,Circle,1,1000,5,0.222489,0.0444977,0.0444864,0.0021238,1
2024-11-29-10:56:46,pointer <Lpoint64> unsorted,10000000,neighSearch,Cube,1,1000,5,0.210583,0.0421166,0.0449516,0.00503076,1
2024-11-29-10:56:47,pointer <Lpoint64> unsorted,10000000,neighSearch,Square,1,1000,5,0.242281,0.0484563,0.0476003,0.00278014,1
2024-11-29-10:56:48,pointer <Lpoint64> unsorted,10000000,neighSearch,Sphere,2.5,1000,5,0.782181,0.156436,0.157042,0.000835017,1
2024-11-29-10:56:49,pointer <Lpoint64> unsorted,10000000,neighSearch,Circle,2.5,1000,5,0.901644,0.180329,0.179954,0.00292116,1
2024-11-29-10:56:50,pointer <Lpoint64> unsorted,10000000,neighSearch,Cube,2.5,1000,5,0.93529,0.187058,0.187566,0.00324606,1
2024-11-29-10:56:51,pointer <Lpoint64> unsorted,10000000,neighSearch,Square,2.5,1000,5,0.998441,0.199688,0.200939,0.00303865,1
2024-11-29-10:56:58,pointer <Lpoint64> unsorted,10000000,neighSearch,Sphere,5,1000,5,6.40851,1.2817,0.709459,1.23127,1
2024-11-29-10:57:02,pointer <Lpoint64> unsorted,10000000,neighSearch,Circle,5,1000,5,3.18274,0.636548,0.635858,0.00636886,1
2024-11-29-10:57:06,pointer <Lpoint64> unsorted,10000000,neighSearch,Cube,5,1000,5,3.49377,0.698754,0.697755,0.00615884,1
2024-11-29-10:57:10,pointer <Lpoint64> unsorted,10000000,neighSearch,Square,5,1000,5,3.3947,0.67894,0.679648,0.00345032,1
2024-11-29-10:57:23,pointer <Lpoint64> unsorted,10000000,neighSearch,Sphere,10,1000,5,10.4977,2.09954,2.09968,0.0164486,1
2024-11-29-10:57:38,pointer <Lpoint64> unsorted,10000000,neighSearch,Circle,10,1000,5,13.0177,2.60355,2.0207,1.1783,1
2024-11-29-10:57:53,pointer <Lpoint64> unsorted,10000000,neighSearch,Cube,10,1000,5,12.274,2.4548,2.45911,0.0110081,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,neighSearch,Square,10,1000,5,14.0104,2.80207,2.21053,1.17367,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Sphere,0.5,1000,5,0.0221394,0.00442788,0.00346254,0.00185898,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Circle,0.5,1000,5,0.0248424,0.00496847,0.00486381,0.000702874,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Cube,0.5,1000,5,0.0220068,0.00440135,0.00409352,0.000846287,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Square,0.5,1000,5,0.0165005,0.00330009,0.0025585,0.0013167,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Sphere,1,1000,5,0.0240078,0.00480156,0.00452862,0.000566329,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Circle,1,1000,5,0.0241375,0.00482749,0.0045047,0.00212773,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Cube,1,1000,5,0.0171973,0.00343946,0.00299113,0.00109375,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Square,1,1000,5,0.0217208,0.00434416,0.00432286,0.000993516,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Sphere,2.5,1000,5,0.0518427,0.0103685,0.010586,0.00124663,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Circle,2.5,1000,5,0.0509075,0.0101815,0.0100448,0.00144453,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Cube,2.5,1000,5,0.0493817,0.00987634,0.00926259,0.00105004,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Square,2.5,1000,5,0.053863,0.0107726,0.0102981,0.00145153,1
2024-11-29-10:58:09,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Sphere,5,1000,5,0.128422,0.0256843,0.0254872,0.000601905,1
2024-11-29-10:58:10,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Circle,5,1000,5,0.123836,0.0247673,0.0246238,0.00106414,1
2024-11-29-10:58:10,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Cube,5,1000,5,0.131655,0.026331,0.0263076,0.00169745,1
2024-11-29-10:58:10,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Square,5,1000,5,0.113809,0.0227618,0.0231337,0.000671118,1
2024-11-29-10:58:10,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Sphere,10,1000,5,0.454114,0.0908229,0.0909541,0.00319839,1
2024-11-29-10:58:11,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Circle,10,1000,5,0.366525,0.0733051,0.0721816,0.0016308,1
2024-11-29-10:58:11,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Cube,10,1000,5,0.439394,0.0878787,0.0881435,0.00302453,1
2024-11-29-10:58:12,pointer <Lpoint64> unsorted,10000000,numNeighSearch,Square,10,1000,5,0.364646,0.0729292,0.0714186,0.00247671,1
2024-11-29-10:58:14,linear <Lpoint64> ,10000000,neighSearch,Sphere,0.5,1000,5,0.104479,0.0208958,0.0213503,0.00570743,1
2024-11-29-10:58:14,linear <Lpoint64> ,10000000,neighSearch,Circle,0.5,1000,5,0.0713514,0.0142703,0.0137979,0.00104247,1
2024-11-29-10:58:14,linear <Lpoint64> ,10000000,neighSearch,Cube,0.5,1000,5,0.0327895,0.00655791,0.00655119,0.000711135,1
2024-11-29-10:58:14,linear <Lpoint64> ,10000000,neighSearch,Square,0.5,1000,5,0.0719969,0.0143994,0.0145299,0.000606285,1
2024-11-29-10:58:14,linear <Lpoint64> ,10000000,neighSearch,Sphere,1,1000,5,0.0970306,0.0194061,0.0193129,0.000969597,1
2024-11-29-10:58:14,linear <Lpoint64> ,10000000,neighSearch,Circle,1,1000,5,0.149433,0.0298866,0.0296978,0.0006596,1
2024-11-29-10:58:14,linear <Lpoint64> ,10000000,neighSearch,Cube,1,1000,5,0.087824,0.0175648,0.0173931,0.000950998,1
2024-11-29-10:58:14,linear <Lpoint64> ,10000000,neighSearch,Square,1,1000,5,0.173856,0.0347712,0.0307068,0.00612193,1
2024-11-29-10:58:15,linear <Lpoint64> ,10000000,neighSearch,Sphere,2.5,1000,5,0.454243,0.0908486,0.0905613,0.000921928,1
2024-11-29-10:58:16,linear <Lpoint64> ,10000000,neighSearch,Circle,2.5,1000,5,0.556042,0.111208,0.111554,0.00150798,1
2024-11-29-10:58:16,linear <Lpoint64> ,10000000,neighSearch,Cube,2.5,1000,5,0.486208,0.0972417,0.0964542,0.00127954,1
2024-11-29-10:58:17,linear <Lpoint64> ,10000000,neighSearch,Square,2.5,1000,5,0.603614,0.120723,0.119069,0.00339732,1
2024-11-29-10:58:19,linear <Lpoint64> ,10000000,neighSearch,Sphere,5,1000,5,1.8197,0.363939,0.363257,0.00772905,1
2024-11-29-10:58:22,linear <Lpoint64> ,10000000,neighSearch,Circle,5,1000,5,2.10043,0.420086,0.423333,0.00767411,1
2024-11-29-10:58:24,linear <Lpoint64> ,10000000,neighSearch,Cube,5,1000,5,2.03776,0.407553,0.405401,0.0058392,1
2024-11-29-10:58:27,linear <Lpoint64> ,10000000,neighSearch,Square,5,1000,5,2.19113,0.438225,0.438612,0.0019987,1
2024-11-29-10:58:34,linear <Lpoint64> ,10000000,neighSearch,Sphere,10,1000,5,6.32259,1.26452,1.25558,0.0166848,1
2024-11-29-10:58:45,linear <Lpoint64> ,10000000,neighSearch,Circle,10,1000,5,9.3965,1.8793,1.29252,1.17506,1
2024-11-29-10:58:53,linear <Lpoint64> ,10000000,neighSearch,Cube,10,1000,5,7.019,1.4038,1.40138,0.00505901,1
2024-11-29-10:59:02,linear <Lpoint64> ,10000000,neighSearch,Square,10,1000,5,7.09915,1.41983,1.4197,0.00818769,1
2024-11-29-10:59:02,linear <Lpoint64> ,10000000,numNeighSearch,Sphere,0.5,1000,5,0.029933,0.00598659,0.00615959,0.000664462,1
2024-11-29-10:59:02,linear <Lpoint64> ,10000000,numNeighSearch,Circle,0.5,1000,5,0.0639348,0.012787,0.0131218,0.00161943,1
2024-11-29-10:59:02,linear <Lpoint64> ,10000000,numNeighSearch,Cube,0.5,1000,5,0.0337187,0.00674374,0.00664372,0.000688854,1
2024-11-29-10:59:02,linear <Lpoint64> ,10000000,numNeighSearch,Square,0.5,1000,5,0.067911,0.0135822,0.0133496,0.00121106,1
2024-11-29-10:59:02,linear <Lpoint64> ,10000000,numNeighSearch,Sphere,1,1000,5,0.0800132,0.0160026,0.0156529,0.000903321,1
2024-11-29-10:59:02,linear <Lpoint64> ,10000000,numNeighSearch,Circle,1,1000,5,0.128183,0.0256366,0.0262986,0.00111463,1
